carton,plan,tag,status,program,in_tg1,in_tg2,in_tg3,in_tg4,targeting_generations
bhm_aqmes_med,0.1.0,0.1.0,core,bhm_aqmes,0,0,0,0,{v0.plates}
bhm_aqmes_med-faint,0.1.0,0.1.0,non-core,bhm_filler,0,0,0,0,{v0.plates}
bhm_aqmes_wide3,0.1.0,0.1.0,core,bhm_aqmes,0,0,0,0,{v0.plates}
bhm_aqmes_wide3-faint,0.1.0,0.1.0,non-core,bhm_filler,0,0,0,0,{v0.plates}
bhm_aqmes_wide2,0.1.0,0.1.0,core,bhm_aqmes,0,0,0,0,{v0.plates}
bhm_aqmes_wide2-faint,0.1.0,0.1.0,non-core,bhm_filler,0,0,0,0,{v0.plates}
bhm_aqmes_bonus-dark,0.1.0,0.1.0,non-core,bhm_filler,0,0,0,0,{v0.plates}
bhm_aqmes_bonus-bright,0.1.0,0.1.0,non-core,bhm_filler,0,0,0,0,{v0.plates}
bhm_csc_boss-dark,0.1.0,0.1.0,non-core,bhm_csc,0,0,0,0,{v0.plates}
bhm_csc_boss-bright,0.1.0,0.1.0,non-core,bhm_csc,0,0,0,0,{v0.plates}
bhm_csc_apogee,0.1.0,0.1.0,non-core,bhm_csc,0,0,0,0,{v0.plates}
bhm_gua_dark,0.1.0,0.1.0,ancillary,bhm_filler,0,0,0,0,{v0.plates}
bhm_gua_bright,0.1.0,0.1.0,ancillary,bhm_filler,0,0,0,0,{v0.plates}
bhm_rm_core,0.1.0,0.1.0,core,bhm_rm,0,0,0,0,{v0.plates}
bhm_rm_known-spec,0.1.0,0.1.0,core,bhm_rm,0,0,0,0,{v0.plates}
bhm_rm_var,0.1.0,0.1.0,core,bhm_rm,0,0,0,0,{v0.plates}
bhm_rm_ancillary,0.1.0,0.1.0,core,bhm_rm,0,0,0,0,{v0.plates}
bhm_spiders_agn-efeds,0.1.0,0.1.0,core,bhm_spiders,0,0,0,0,{v0.plates}
bhm_spiders_clusters-efeds-sdss-redmapper,0.1.0,0.1.0,core,bhm_spiders,0,0,0,0,{v0.plates}
bhm_spiders_clusters-efeds-hsc-redmapper,0.1.0,0.1.0,core,bhm_spiders,0,0,0,0,{v0.plates}
bhm_spiders_clusters-efeds-ls-redmapper,0.1.0,0.1.0,core,bhm_spiders,0,0,0,0,{v0.plates}
bhm_spiders_clusters-efeds-erosita,0.1.0,0.1.0,core,bhm_spiders,0,0,0,0,{v0.plates}
bhm_spiders_agn_gaiadr2,0.5.0,0.3.0,non-core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_agn_lsdr8,0.5.0,0.3.0,core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_agn_sep,0.5.0,0.3.0,non-core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_agn_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_agn_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_agn_skymapperdr2,0.5.0,0.3.0,non-core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_agn_supercosmos,0.5.0,0.3.0,non-core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_clusters_lsdr8,0.5.0,0.3.0,core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_clusters_ps1dr2,0.5.0,0.3.0,core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_spiders_clusters_efeds_stragglers,0.5.0,0.3.0,non-core,bhm_spiders,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_gua_bright,0.5.0,0.3.0,ancillary,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_gua_dark,0.5.0,0.3.0,ancillary,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_rm_known_spec,0.5.0,0.3.0,core,bhm_rm,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_rm_core,0.5.0,0.3.0,core,bhm_rm,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_rm_var,0.5.0,0.3.0,core,bhm_rm,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_rm_ancillary,0.5.0,0.3.0,core,bhm_rm,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_aqmes_med,0.5.0,0.3.0,core,bhm_aqmes,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_aqmes_med_faint,0.5.0,0.3.0,non-core,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_csc_boss_dark,0.5.0,0.3.0,non-core,bhm_csc,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_csc_boss_bright,0.5.0,0.3.0,non-core,bhm_csc,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_csc_apogee,0.5.0,0.3.0,non-core,bhm_csc,1,0,0,0,{v0.5.epsilon-7-core-0}
openfibertargets_nov2020_11,0.5.3,0.3.4,open-fiber,open_fiber,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
openfibertargets_nov2020_18,0.5.3,0.3.4,open-fiber,open_fiber,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
openfibertargets_nov2020_26,0.5.3,0.3.4,open-fiber,open_fiber,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
openfibertargets_nov2020_27,0.5.3,0.3.4,open-fiber,open_fiber,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
openfibertargets_nov2020_30,0.5.3,0.3.4,open-fiber,open_fiber,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
openfibertargets_nov2020_33,0.5.3,0.3.4,open-fiber,open_fiber,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
manual_bhm_spiders_comm,0.5.3,0.3.4,core,commissioning,0,1,1,1,"{v0.5.2,v0.5.3,v0.5.5}"
bhm_aqmes_bonus_bright,0.5.4,0.3.5,non-core,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_aqmes_bonus_core,0.5.4,0.3.5,non-core,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_aqmes_bonus_faint,0.5.4,0.3.5,non-core,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_aqmes_wide2,0.5.4,0.3.5,core,bhm_aqmes,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_aqmes_wide2_faint,0.5.4,0.3.5,non-core,bhm_filler,1,1,1,1,"{v0.5.2,v0.5.3,v0.5.5,v0.5.epsilon-7-core-0}"
bhm_csc_boss,0.5.15,0.3.14,non-core,bhm_csc,0,1,1,1,"{v0.5.2,v0.5.3,v0.5.5}"
bhm_csc_apogee,0.5.15,0.3.14,non-core,bhm_csc,0,1,1,1,"{v0.5.2,v0.5.3,v0.5.5}"
bhm_colr_galaxies_lsdr8,0.5.16,0.3.15,ancillary,bhm_filler,0,1,1,1,"{v0.5.2,v0.5.3,v0.5.5}"
